rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
1,Limonene,22311,1091998,scent-aroma,terpene,,,,
2,Paracetamol,1983,85493,otc-medicine,otc,yes,,,
3,Water,962,70659,everyday-chemistry,inorganic,,,yes,add-core
4,Diphenhydramine,3100,58481,otc-medicine,otc,yes,,,
5,Ethanol,702,55687,food-flavor,alcohol,,yes,,
6,Ibuprofen,3672,53595,otc-medicine,otc,yes,,,
7,Creatine,586,53553,body-endogenous,amino-acid,,,,
8,Cetirizine,2678,51328,otc-medicine,otc,yes,,,
9,Caffeine,2519,49284,food-flavor,alkaloid,,yes,,
10,Monosodium glutamate,23672308,48024,food-flavor,amino-acid,,,,
11,Omeprazole,4594,47306,otc-medicine,otc,yes,,,
12,Aspirin,2244,45189,otc-medicine,otc,yes,,,
13,Sodium bicarbonate,516892,42922,food-flavor,other,,,,
14,Hydrogen peroxide,784,39945,everyday-chemistry,inorganic,yes,,yes,add-core
15,Ammonia,222,39514,everyday-chemistry,inorganic,,,yes,add-core
16,Naproxen,156391,39102,otc-medicine,otc,yes,,,
17,Nitrous oxide,948,36632,everyday-chemistry,inorganic,,yes,yes,add-core
18,Dextromethorphan,5360696,35856,otc-medicine,otc,yes,,,
19,Nicotine,89594,35102,plant-compound,alkaloid,,yes,,
20,Vitamin B12,184933,33721,nutrient-vitamin,vitamin,,,,
21,Dopamine,681,33579,body-endogenous,neurotransmitter,,,,
22,Carbon dioxide,280,33575,everyday-chemistry,inorganic,,,yes,add-core
23,Urea,1176,32992,body-endogenous,other,,,,
24,Glucose,5793,32866,sweetener,sugar,,,yes,
25,Cortisol,5754,32695,body-endogenous,steroid-hormone,,yes,,
26,Testosterone,6013,31232,body-endogenous,steroid-hormone,,yes,,
27,Acetic acid,176,31041,food-flavor,organic-acid,,,,
28,Pseudoephedrine,7028,30793,otc-medicine,otc,yes,,,
29,Serotonin,5202,30705,body-endogenous,neurotransmitter,,,,
30,Tetrahydrocannabinol,16078,29102,plant-compound,terpenoid,,yes,,
31,Adenosine triphosphate,5957,28694,body-endogenous,nucleobase,,,,
32,Vitamin C,54670067,28694,nutrient-vitamin,vitamin,,,,
33,Quinine,3034034,28665,plant-compound,alkaloid,,yes,,
34,Magnesium glycinate,84645,28283,nutrient-vitamin,other,,,,
35,Isopropyl alcohol,3776,27872,everyday-chemistry,alcohol,yes,,yes,add-core
36,Formaldehyde,712,26719,everyday-chemistry,aldehyde,,,yes,add-core
37,Sodium chloride,5234,25668,food-flavor,other,,,,
38,Oxytocin,439302,25512,body-endogenous,peptide,,yes,,
39,Glycerol,753,25477,food-flavor,sugar-alcohol,,,,
40,Methanol,887,25415,everyday-chemistry,alcohol,,,yes,add-core
41,Aspartame,134601,24441,sweetener,sweetener,,,,
42,Nicotinamide adenine dinucleotide,925,24030,body-endogenous,nucleobase,,,,
43,Citric acid,311,23881,food-flavor,organic-acid,,,,
44,Salicylic acid,338,23836,otc-medicine,otc,yes,,,
45,Melatonin,896,23598,body-endogenous,amine,yes,yes,,
46,Insulin,118984375,23484,body-endogenous,peptide,,yes,,
47,Taurine,1123,23308,body-endogenous,amino-acid,,,,
48,Acetone,180,22860,everyday-chemistry,ketone,,,yes,add-core
49,Capsaicin,1548943,22842,plant-compound,phenolic,,yes,,
50,Cholesterol,5997,22298,body-endogenous,steroid-hormone,,,,
51,Coenzyme Q10,5281915,22293,nutrient-vitamin,other,,,,
52,Allura Red AC,33258,22223,food-flavor,other,,,,
53,Erythritol,222285,22198,sweetener,sugar-alcohol,,,,
54,Famotidine,3325,22110,otc-medicine,otc,yes,,,
55,Loratadine,3957,21766,otc-medicine,otc,yes,,,
56,Calcium carbonate,10112,21450,nutrient-vitamin,other,yes,yes,,
57,Sucrose,5988,21205,sweetener,sugar,,,,
58,Sodium hypochlorite,23665760,20675,everyday-chemistry,inorganic,,,yes,add-core
59,Adrenaline,5816,20343,body-endogenous,neurotransmitter,,yes,,
60,Cannabidiol,644019,20069,plant-compound,terpenoid,,yes,,
61,Fexofenadine,3348,19871,otc-medicine,otc,yes,,,
62,Sucralose,71485,19789,sweetener,sweetener,,,,
63,Ephedrine,9294,19586,otc-medicine,otc,yes,,,
64,Camphor,2537,19275,scent-aroma,terpenoid,,yes,,
65,Propylene glycol,1030,18986,food-flavor,alcohol,,yes,,
66,Norepinephrine,439260,18877,body-endogenous,neurotransmitter,,yes,,
67,Loperamide,3955,18633,otc-medicine,otc,yes,,,
68,Magnesium sulfate,24083,18016,nutrient-vitamin,other,,yes,,
69,Doxylamine,3162,17926,otc-medicine,otc,yes,,,
70,Lactic acid,612,17400,food-flavor,organic-acid,,,,
71,Hyaluronic acid,24759,17007,body-endogenous,other,,,,
72,Xylitol,6912,16861,sweetener,sugar-alcohol,,,,
73,Theanine,439378,16349,plant-compound,amino-acid,,,,
74,Potassium chloride,4873,15865,food-flavor,other,,,,
75,Folate,135398658,15813,nutrient-vitamin,vitamin,,,,
76,Glutathione,124886,15569,body-endogenous,peptide,,,,
77,Acetylcholine,187,15464,body-endogenous,neurotransmitter,,,,
78,Thiamine,1130,15034,nutrient-vitamin,vitamin,,,,
79,Nitric oxide,145068,15018,body-endogenous,inorganic,,,yes,add-core
80,Oxalic acid,971,14969,plant-compound,organic-acid,,,,
81,Bilirubin,5280352,14734,body-endogenous,other,,,,
82,Chitin,6857375,14702,nutrient-vitamin,sugar,,,,
83,Biotin,171548,14576,nutrient-vitamin,vitamin,,,,
84,Menthol,16666,14426,food-flavor,terpenoid,,,,
85,Tryptophan,6305,14422,body-endogenous,amino-acid,,,,
86,Glycine,750,14419,body-endogenous,amino-acid,,,,
87,Nicotinamide,936,14270,nutrient-vitamin,vitamin,,,,
88,Clotrimazole,2812,14081,otc-medicine,otc,yes,,,
89,Retinol,445354,13859,nutrient-vitamin,vitamin,,,,
90,Berberine,2353,13752,plant-compound,alkaloid,,yes,,
91,Sodium nitrite,23668193,13748,food-flavor,other,,,,
92,Bismuth subsalicylate,16682734,13570,otc-medicine,otc,yes,,,
93,DEET,4284,13505,everyday-chemistry,amide,,,yes,add-core
94,Phenylephrine,6041,13455,otc-medicine,otc,yes,,,
95,Histamine,774,13445,body-endogenous,amine,,,,
96,Estradiol,5757,13444,body-endogenous,steroid-hormone,,yes,,
97,GABA,119,13329,body-endogenous,neurotransmitter,,,,
98,Adenosine,60961,13327,body-endogenous,nucleobase,,yes,,
99,Phenylalanine,6140,13086,body-endogenous,amino-acid,,,,
100,Progesterone,5994,13041,body-endogenous,steroid-hormone,,yes,,
101,Phosphoric acid,1004,12799,food-flavor,other,,,,
102,Calcium chloride,24854,12684,food-flavor,other,,,,
103,Ethyl acetate,8857,12608,food-flavor,ester,,yes,,
104,Fructose,5984,12446,sweetener,sugar,,,,
105,Uric acid,1175,12358,body-endogenous,other,,,,
106,Ethylene,6325,12319,plant-compound,alkene,,,yes,add-core
107,Theobromine,5429,12308,plant-compound,alkaloid,,yes,,
108,Choline,305,12168,nutrient-vitamin,amine,,,,
109,Dimenhydrinate,10660,12100,otc-medicine,otc,yes,,,
110,Guaifenesin,3516,11974,otc-medicine,otc,yes,,,
111,Lysine,866,11935,body-endogenous,amino-acid,,,,
112,Potassium iodide,4875,11825,nutrient-vitamin,other,,yes,,
113,Dihydrotestosterone,10635,11604,body-endogenous,steroid-hormone,,yes,,
114,Creatinine,26009888,11352,body-endogenous,other,,,,
115,Cholecalciferol,5280795,11336,nutrient-vitamin,vitamin,,,,
116,Acetaldehyde,177,11323,food-flavor,aldehyde,,,,
117,Arginine,28782,11180,body-endogenous,amino-acid,,,,
118,Inulin,24763,11139,nutrient-vitamin,sugar,,,,
119,Vasopressin,644077,11100,body-endogenous,peptide,,yes,,
120,Riboflavin,493570,10922,nutrient-vitamin,vitamin,,,,
121,5-Hydroxytryptophan,439280,10810,body-endogenous,amino-acid,,yes,,
122,Chlorphenamine,2725,10663,otc-medicine,otc,yes,,,
123,Ammonium chloride,25517,10551,food-flavor,other,,yes,,
124,Phenethylamine,1001,10341,body-endogenous,amine,,yes,,
125,Carmine,14950,10332,food-flavor,other,,,,
126,Curcumin,969516,10161,plant-compound,phenolic,,,,
127,Inositol,892,10102,nutrient-vitamin,sugar-alcohol,,,,
128,Saccharin,5143,9846,sweetener,sweetener,,,,
129,Solanine,9549171,9826,plant-compound,alkaloid,,,,
130,Butyric acid,264,9812,food-flavor,fatty-acid,,,,
131,Tyrosine,6057,9769,body-endogenous,amino-acid,,,,
132,Lactose,6134,9603,sweetener,sugar,,,,
133,Sorbitol,5780,9480,sweetener,sugar-alcohol,,,,
134,Coumarin,323,9460,scent-aroma,phenolic,,,,
135,Lithium orotate,23686432,9406,nutrient-vitamin,other,,yes,,
136,Quercetin,5280343,9369,plant-compound,flavonoid,,,,
137,Sodium nitrate,24268,9320,food-flavor,other,,yes,,
138,Safrole,5144,9194,plant-compound,phenolic,,,,
139,Benzoic acid,243,9172,food-flavor,organic-acid,,,,
140,Glutamic acid,611,9124,body-endogenous,amino-acid,,,,
141,Vanillin,1183,9051,food-flavor,aldehyde,,,,
142,Oleic acid,445639,9009,nutrient-vitamin,fatty-acid,,,,
143,Glycogen,439177,8825,body-endogenous,sugar,,,,
144,Resveratrol,445154,8792,plant-compound,phenolic,,,,
145,Acesulfame potassium,11074431,8510,sweetener,sweetener,,,,
146,Potassium bitartrate,23666342,8504,food-flavor,organic-acid,,,,
147,Sodium benzoate,517055,8485,food-flavor,organic-acid,,,,
148,Purine,1044,8448,body-endogenous,nucleobase,,,,
149,Oxymetazoline,4636,8351,otc-medicine,otc,yes,,,
150,Amygdalin,656516,8332,plant-compound,glycoside,,,,
151,Tartaric acid,875,8203,food-flavor,organic-acid,,,,
152,Brilliant blue FCF,19700,8190,food-flavor,other,,,,
153,Mannitol,6251,8184,sweetener,sugar-alcohol,,yes,,
154,Zinc oxide,14806,8109,otc-medicine,otc,yes,,,
155,Cysteine,5862,8040,body-endogenous,amino-acid,,,,
156,Carnitine,288,7999,body-endogenous,amino-acid,,,,
157,Esomeprazole,9568614,7864,otc-medicine,otc,yes,,,
158,Malic acid,525,7835,food-flavor,organic-acid,,,,
159,Theophylline,2153,7724,plant-compound,alkaloid,,yes,yes,move-from-wing
160,Cyanocobalamin,16212801,7721,nutrient-vitamin,vitamin,,,,
161,Sodium acetate,517045,7711,food-flavor,organic-acid,,,,
162,Geosmin,29746,7691,scent-aroma,terpenoid,,,,
163,Dehydroepiandrosterone,5881,7687,body-endogenous,steroid-hormone,,yes,,
164,Glucosamine,439213,7566,nutrient-vitamin,sugar,yes,,,
165,Linoleic acid,5280450,7562,nutrient-vitamin,fatty-acid,,,,
166,Nicotinic acid,938,7457,nutrient-vitamin,vitamin,,yes,,
167,Magnesium oxide,14792,7446,nutrient-vitamin,other,,yes,,
168,Astaxanthin,5281224,7439,nutrient-vitamin,carotenoid,,,,
169,Nicotinamide mononucleotide,14180,7414,nutrient-vitamin,other,,,,
170,Bicarbonate,769,7350,body-endogenous,other,,,,
171,Butylated hydroxytoluene,31404,7296,food-flavor,phenolic,,,,
172,Benzoyl peroxide,7187,7290,otc-medicine,otc,yes,,,
173,Glucagon,16186314,7275,body-endogenous,peptide,,yes,,
174,Methylsulfonylmethane,6213,7236,nutrient-vitamin,other,,,,
175,Stearic acid,5281,7079,nutrient-vitamin,fatty-acid,,,,
176,Methionine,876,7073,body-endogenous,amino-acid,,,,
177,Methyl salicylate,4133,7052,food-flavor,ester,,yes,,
178,Acrylamide,6579,6974,food-flavor,other,,yes,,
179,Tartrazine,164825,6938,food-flavor,other,,,,
180,Sodium metabisulfite,51000477,6797,food-flavor,other,,,,
181,Glutamine,5961,6741,body-endogenous,amino-acid,,,,
182,Indole,798,6642,scent-aroma,other,,,,
183,Polysorbate 80,5281955,6598,food-flavor,ester,,,,
184,Aldosterone,5839,6481,body-endogenous,steroid-hormone,,,,
185,Maltitol,493591,6477,sweetener,sugar-alcohol,,,,
186,Lycopene,446925,6448,plant-compound,carotenoid,,,,
187,Leucine,6106,6371,body-endogenous,amino-acid,,,,
188,Lipoic acid,864,6314,nutrient-vitamin,fatty-acid,,,,
189,Benzaldehyde,240,6206,food-flavor,aldehyde,,,,
190,Pantothenic acid,988,6188,nutrient-vitamin,vitamin,,,,
191,Eugenol,3314,6159,food-flavor,phenolic,,,,
192,Magnesium citrate,8949,6091,nutrient-vitamin,organic-acid,,yes,,
193,Thujone,11027,6057,plant-compound,terpenoid,,,,
194,Benzyl alcohol,244,6017,scent-aroma,alcohol,,,,
195,Magnesium chloride,24584,6007,nutrient-vitamin,other,,yes,,
196,Potassium sorbate,23676745,6003,food-flavor,organic-acid,,,,
197,Palmitic acid,985,5926,food-flavor,fatty-acid,,,,
198,Iron(II) sulfate,24393,5882,nutrient-vitamin,other,,,,
199,Bisacodyl,2391,5870,otc-medicine,otc,yes,,,
200,Adenine,190,5858,body-endogenous,nucleobase,,,,
201,Chitosan,71853,5791,nutrient-vitamin,sugar,,,,
202,Spermidine,1102,5696,body-endogenous,amine,,,,
203,Acetyl-CoA,444493,5662,body-endogenous,other,,,,
204,Magnesium hydroxide,14791,5628,otc-medicine,otc,yes,,,
205,Proline,614,5560,body-endogenous,amino-acid,,,,
206,Galactose,6036,5555,sweetener,sugar,,,yes,
207,Meclizine,4034,5527,otc-medicine,otc,yes,,,
208,Alanine,5950,5486,body-endogenous,amino-acid,,,,
209,Piperine,638024,5474,plant-compound,alkaloid,,,,
210,Citrulline,9750,5474,body-endogenous,amino-acid,,,,
211,Docosahexaenoic acid,445580,5466,nutrient-vitamin,fatty-acid,,,,
212,Maltose,439186,5461,sweetener,sugar,,,,
213,Methylcobalamin,6436232,5455,nutrient-vitamin,vitamin,,,,
214,Cannabigerol,5315659,5377,plant-compound,terpenoid,,,,
215,Leptin,157010069,5354,body-endogenous,peptide,,,yes,
216,Aspartic acid,5960,5310,body-endogenous,amino-acid,,,,
217,Histidine,6274,5281,body-endogenous,amino-acid,,,,
218,Carboxymethyl cellulose,24748,5273,food-flavor,sugar,,,,
219,Tocopherol,14986,5265,nutrient-vitamin,vitamin,,,,
220,Propionic acid,1032,5170,food-flavor,organic-acid,,,,
221,Citicoline,11583971,5168,nutrient-vitamin,other,,yes,,
222,Guanine,764,5117,body-endogenous,nucleobase,,,,
223,Ghrelin,16133832,5109,body-endogenous,peptide,,,,
224,Β-Carotene,5280489,5073,plant-compound,carotenoid,,,,
225,Arachidonic acid,444899,4914,body-endogenous,fatty-acid,,,,
226,Succinic acid,1110,4883,body-endogenous,organic-acid,,,,
227,Anandamide,5281969,4876,body-endogenous,neurotransmitter,,,,
228,Tyramine,5610,4859,food-flavor,amine,,,,
229,Dimethyl sulfide,1068,4856,scent-aroma,other,,,,
230,Ketotifen,3827,4846,otc-medicine,otc,yes,,,
231,S-Adenosyl methionine,34755,4812,body-endogenous,other,,yes,,
232,Linalool,6549,4799,scent-aroma,terpene,,,,
233,Tryptamine,1150,4748,body-endogenous,amine,,yes,,
234,Trisodium citrate,6224,4732,food-flavor,organic-acid,,,,
235,Deoxyribose,439576,4685,body-endogenous,sugar,,,,
236,Cinnamaldehyde,637511,4645,food-flavor,aldehyde,,,,
237,Allicin,65036,4639,plant-compound,other,,,,
238,Tetrahydrocannabinolic acid,98523,4639,plant-compound,terpenoid,,yes,,
239,Allulose,90008,4608,sweetener,sugar,,,yes,
240,Pyruvic acid,1060,4570,body-endogenous,organic-acid,,,,
241,Calcitriol,5280453,4558,nutrient-vitamin,vitamin,,yes,,
242,Docusate,23673837,4505,otc-medicine,otc,yes,,,
243,Pyridoxine,1054,4492,nutrient-vitamin,vitamin,,,,
244,Cimetidine,2756,4452,otc-medicine,otc,yes,,,
245,Ribose,10975657,4441,body-endogenous,sugar,,,yes,
246,Squalene,638072,4351,plant-compound,terpene,,,,
247,Calcium oxalate,33005,4345,body-endogenous,organic-acid,,,,
248,Trimethylamine N-oxide,1145,4292,body-endogenous,amine,,,,
249,Estradiol (medication),9811784,4230,body-endogenous,steroid-hormone,,yes,,
250,Sulforaphane,5350,4177,plant-compound,other,,,,
251,Apigenin,5280443,4171,plant-compound,flavonoid,,,,
